Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Reef_ID,Realm_Name,Ecoregion_Name,Country_Name,State_Island_Province_Name,City_Town_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_Comments,Reef_Regime
7139,10314232,Reef_Check,-2.6697,150.2541,Pacific,150.15.14.9E.2.40.10.8S,Central Indo-Pacific,Bismarck Sea New Guinea,Papua New Guinea,Bismarck Archipelago,New Hanover,nd,560.57,Sheltered,0.0398,52.33,28,8,2004,3.0,Nutrient Indicator Algae,0.0,0.0,0.0,302.43,302.31,302.55,299.83,306.19,0.85,8.0,0.21,0.81,0.0,-3,3.49,1,4.65,19,4,0,2.75,18.12,1.62,-0.56,0.85,-3.03,3.31,-0.31,0,3.19,15,2,0,2,17.53,0.9,8/28/2004,nd,nd,nd,Degraded
5733,10310465,Reef_Check,6.7012,116.3386,Pacific,116.20.313E.6.42.073N,Central Indo-Pacific,Sulu Sea,Malaysia,Sabah,Mantanani Islands,nd,1081.62,Sheltered,0.0844,53.85,20,7,2019,6.0,Nutrient Indicator Algae,0.0,0.0,2.0,302.85,302.38,301.97,296.64,306.2,1.72,3.0,-0.92,1.03,0.0,-3.7,3.31,8,5.98,25,8,2.51,3.64,22.68,2.86,-1.26,1.72,-7,2.55,-1.66,1,1.4,6,1,1.17,1.14,7.73,0.4,7/20/2019,nd,nd,nd,Degraded
13265,10275768,FRRP,25.1299,-80.2864,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Monroe County,nd,7658.0,Exposed,0.0577,57.05,26,9,2013,8.4,nd,0.0,0.0,16.15,299.74,302.01,299.79,293.95,304.83,2.35,4.0,0.09,0.86,0.0,-3.58,3.79,3,4.54,23,5,1.32,2.34,12.79,1.88,-1.03,2.35,-9.09,1.78,-3.24,0,0.97,4,0,0,0.66,5.21,0.18,9/26/2013,nd,No habitat at orig. coords (sand); moved to Fore Reef; low profile spur n groove habitat; lots of MAGs; Thermocline @ 20-foot depths; D. stellaris morphotype present,nd,Degraded
13438,10275945,FRRP,25.3478,-80.1564,Atlantic,nd,Tropical Atlantic,Bahamas and Florida Keys,United States,Florida,Miami-Dade County,nd,8257.0,Exposed,0.0818,57.28,9,10,2012,6.6,nd,0.0,0.0,10.26,299.46,301.89,299.84,294.41,304.92,2.26,5.0,0.37,0.82,0.0,-3.96,2.5,9,3.82,20,5,1.39,2.23,11.93,1.64,-1.07,2.26,-8.55,1.94,-3.12,1,0.89,3,0,1.38,0.62,5.05,0.18,10/9/2012,nd,nd,nd,Degraded
7485,10312518,Reef_Check,11.1879,123.8185,Pacific,123.49.6.6E.11.11.16.6N,Central Indo-Pacific,South-east Philippines,Philippines,Central Visayas,Cebu,nd,230.06,Sheltered,0.0871,54.82,2,8,2008,10.0,Hard Coral,18.12,0.0,0.0,302.2,303.41,301.42,296.91,305.48,1.45,6.0,1.1,0.96,0.0,-3.06,2.9,18,7,37,7,8.22,4.39,26.18,2.68,0.73,1.45,-5.76,2.79,-1.25,10,4.24,23,3,4.62,2.74,18.21,1.14,8/2/2008,nd,nd,nd,Degraded
1164,10323291,Donner,-23.0,151.0,Pacific,nd,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,The Keppels,nd,8406.82,Exposed,0.0746,53.75,15,12,2007,0.0,nd,0.0,0.0,0.0,nd,nd,0.0,0.0,0.0,nd,0.0,nd,nd,0.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.0,nd,nd,nd,nd,nd,nd,nd,nd,12/15/2007,Average Hard coral: 35% Soft coral: 15% Bleached Hard coral: 0% Soft coral: 0%  Comments on affected species:  Long (>2 years) dead tabulate Acropora (25% of substrate) adjacent to heatly ones of same size. Other Comments: Excelent fish assemblages i,Average Hard coral: 35% Soft coral: 15% Bleached Hard coral: 0% Soft coral: 0%  Comments on affected species:  Long (>2 years) dead tabulate Acropora (25% of substrate) adjacent to heatly ones of same size. Other Comments: Excelent fish assemblages i,nd,Degraded
3624,10318650,Reef_Check,12.4878,-61.4906,Atlantic,61.29.26W.12.29.16N,Tropical Atlantic,Hispaniola Puerto Rico and Lesser Antilles,Grenada,Carriacou,nd,nd,130.56,Sheltered,0.0674,54.6,23,5,2018,10.5,Nutrient Indicator Algae,30.0,0.0,0.5,300.38,300.59,300.41,296.47,304.39,1.14,8.0,0.58,0.78,0.0,-3.17,2.86,9,5,28,4,1.06,2.62,19.13,1.47,-1.29,1.14,-5.4,2.5,-1.46,3,1.77,9,1,0,1.27,12.3,0.4,5/23/2018,nd,nd,nd,Transitional
5567,10310850,Reef_Check,4.1125,118.2251,Pacific,118.13.504E.4.6.751N,Central Indo-Pacific,Sulu Sea,Malaysia,Sabah,Gosong Darby,nd,20111.46,Sheltered,0.0803,54.24,21,4,2015,12.0,Nutrient Indicator Algae,1.25,0.0,15.0,302.72,303.13,302.13,298.07,305.13,0.96,2.0,0.5,0.83,0.0,-3.59,3.07,9,4.17,20,5,1.2,2.22,12.18,1.73,0.33,0.96,-4.73,2.32,-0.66,4,1.6,6,1,0,1.04,6.62,0.47,4/21/2015,nd,nd,nd,Degraded
999512,10330361,AGRRA,21.657,-79.9281,Atlantic,nd,Tropical Atlantic,Cuba and Cayman Islands,Cuba,Sancti Spiritus,Bahia de Casilda,Arrecifes Mulatas Este (cresta),4266.9,Exposed,0.0684,59.47,28,8,2001,1.9,nd,0.0,0.0,1.67,302.97,303.19,301.11,297.2,305.1,1.63,5.0,-0.01,0.68,0.0,-3.96,2.28,2,3.27,19,3,2.33,1.8,12.28,1.03,-0.02,1.63,-6,1.88,-2.09,0,0.96,3,0,0,0.65,4.1,0.19,8/28/2001,nd,nd,nd,Degraded
6807,10315396,Reef_Check,-20.5553,164.1832,Pacific,164.10.59.6E.20.33.19S,Central Indo-Pacific,New Caledonia,New Caledonia,North Province,Koumac,nd,68.17,Sheltered,0.0,59.51,21,1,2014,4.5,Nutrient Indicator Algae,24.38,0.0,0.0,300.79,299.67,298.36,294.29,305.38,1.96,7.0,-0.91,0.85,0.0,-3.8,4.6,1,5.81,28,6,0,3.23,19.48,2.12,-1.19,1.96,-6.57,4.5,-2.5,0,1.82,6,1,0,1.67,13.67,0.57,1/21/2014,nd,nd,nd,Degraded
2582,10324423,Donner,20.8337,-78.9911,Atlantic,nd,Tropical Atlantic,Cuba and Cayman Islands,Cuba,Ciego de Avila,Cayos de las Doce Leguas,nd,1007.53,Exposed,0.1354,56.49,15,8,2001,1.1,nd,0.0,0.0,0.0,303.34,302.86,301.24,296.1,305.86,1.73,6.0,-0.58,1,0.0,-3.79,2.69,2,3.92,25,4,1.09,2.2,13.33,1.53,-0.61,1.73,-7.36,2.38,-2.22,0,1.51,6,1,0,1.14,8.27,0.41,8/15/2001,nd,nd,nd,Degraded
9739,10309302,Reef_Check,12.2789,109.4939,Pacific,109.29.38E.12.16.44N,Central Indo-Pacific,South Vietnam,Vietnam,Khanh Hoa Province,Nha Trang,nd,13366.64,Exposed,0.0631,49.63,8,5,2005,3.0,Nutrient Indicator Algae,0.0,0.0,0.0,301.67,299.83,300.07,294.14,305.29,2.06,4.0,-1.67,1.11,0.0,-4.5,4.18,6,6.63,35,9,0,4.24,23.53,3.42,-1.88,2.06,-7.56,3.57,-1.63,3,3.63,22,3,0,2.71,21.84,1.45,5/8/2005,nd,nd,nd,Degraded
